"Site","Building","Floor","Area","Description","Room Number","Room Barcode","Room Type","Cost Centre","Department"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Sluice Room","RCB00048","RCB00048","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","THEATRE R4 Operating","RCB00049","RCB00049","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Office/Theatre Res Room","RCB00050","RCB00050","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Recovery Bay","RCB00051","RCB00051","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Staff Room THEATRE R ","RCB00052","RCB00052","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Store Room THEATRE R ","RCB00053","RCB00053","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Female Change THEATRE R ","RCB00055","RCB00055","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Dirty Utility Room","RCB00070","RCB00070","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Store","RCB00037","RCB00037","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","R.O. Plant Room","RCB00058","RCB00058","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Staff WC","RCB00068","RCB00068","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Store","RCB00043","RCB00043","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Lobby - to Clinic Room 4","RCB00035","RCB00035","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Electrical Cupboard","RCB00064","RCB00064","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Endoscopy Wash","RCB00060","RCB00060","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Store","RCB00067","RCB00067","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-Catering","G","RWB","Space THEATRE R ","RWB10096","RWB10096","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Location moved into Endo/Willow ward","RCB00065","RCB00065","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Location moved into Endo/Willow ward","RCB00066","RCB00066","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Patients Shower/WC","RCB00077","RCB00077","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Patients Bath/WC","RCB00076","RCB00076","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Staff WC","RCB00075","RCB00075","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-Catering","G","RWB","Electrical Cupboard","RWB10104","RWB10104","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Waiting Room","RCB00096","RCB00096","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RPR","Plant Room 13","RPR13001","RPR13001","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Ward C - 6 Bed","RCB00086","RCB00086","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Ward D - 6 Bed","RCB00085","RCB00085","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","WC","RCB00088","RCB00088","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Ward E","RCB00087","RCB00087","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Patients WC","RCB00090","RCB00090","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Nurses Store Room","RCB00073","RCB00073","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Clean Utility Room","RCB00074","RCB00074","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Kitchen","RCB00071","RCB00071","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Ward F","RCB00083","RCB00083","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Consultants Office","RCB00093","RCB00093","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Domestic Store","RCB00094","RCB00094","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Staff WC","RCB00095","RCB00095","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Switch Room R (off waiting room)","RCB00097","RCB00097","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Obs & Gynae Secretaries","RCB00038","RCB00038","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-THEATRES","G","RCB","Waiting Room","RCB00189","RCB00189","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Recovery Unit","RCB00190","RCB00190","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Reception","RCB00191","RCB00191","Delivery Point",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R3 Operating","RCB00106","RCB00106","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R2 Anaesthetic Room 2","RCB00108","RCB00108","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R3 Anaesthetic Room 3","RCB00107","RCB00107","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R2 Operating","RCB00109","RCB00109","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Store","RCB00186","RCB00186","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R1 Operating","RCB00117","RCB00117","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Store","RCB00188","RCB00188","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R1 Anaesthetics room 1","RCB00120","RCB00120","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Rest Room","RCB00121","RCB00121","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Surgeons Room","RCB00122","RCB00122","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Male Change","RCB00130","RCB00130","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Female Change","RCB00129","RCB00129","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Managers Office","RCB00124","RCB00124","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","General Office","RCB00126","RCB00126","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Store","RCB00187","RCB00187","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Store","RCB00125","RCB00125","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R1 & 2 Prep Room","RCB00111","RCB00111","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R1 & 2 Scrub Up","RCB00110","RCB00110","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","THEATRE R3 Prep Room","RCB00105","RCB00105","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Air Lock Lobby","RCB00101","RCB00101","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Air Lock Lobby","RCB00102","RCB00102","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Dirty Utility Room","RCB00114","RCB00114","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-THEATRES","G","RCB","Store Room","RCB00127","RCB00127","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-AVON HOUSE","G","RAH","Flat 1","RAH00003","RAH00003","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","G","RAH","Ambulance Base","RAH00005","RAH00005","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","G","RAH","Occupational Health","RAH00016","RAH00016","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","01","RAH","Flat 4","RAH00007","RAH00007","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","01","RAH","Flat 5","RAH00010","RAH00010","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","01","RAH","Flat 6","RAH00011","RAH00011","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","02","RAH","Flat 7","RAH00013","RAH00013","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","02","RAH","Flat 8","RAH00014","RAH00014","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-AVON HOUSE","02","RAH","Flat 9","RAH00015","RAH00015","Not Defined",,"RUG - AVON HOUSE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Foyer/ Corridor","RVB00034","RVB00034","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","WC Male / Female","RVB00035","RVB00035","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Lecture theatre","RVB00036","RVB00036","Conference",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Store","RVB00037","RVB00037","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RPR","Plant room","RPR30001","RPR30001","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","WC Female","RVB00040","RVB00040","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Reception / Secretary","RVB00056","RVB00056","Delivery Point",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Disabled WC","RVB00041","RVB00041","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Cleaners store","RVB00043","RVB00043","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Coffee Lounge","RVB00044","RVB00044","Meeting",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Kitchen","RVB00045","RVB00045","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Seminar Room 1","RVB00047","RVB00047","Meeting",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Trust Training Office","RVB00048","RVB00048","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Tutors Room","RVB00049","RVB00049","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Seminar room","RVB00055","RVB00055","Meeting",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Office Secretary / Post Grad Admin","RVB00050","RVB00050","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Seminar Room 2","RVB00051","RVB00051","Meeting",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Library Workroom / Office","RVB00053","RVB00053","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Library","RVB00052","RVB00052","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG-OCTAPUS CENTRE","G","RVB","Open Learning Centre","RVB00054","RVB00054","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG - A&E","G","RWB","Consulting Room 3","RWB00121","RWB00121","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Consulting Room 4","RWB00120","RWB00120","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Consulting Room 2","RWB00122","RWB00122","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Consulting Room 1","RWB00123","RWB00123","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Paediatric Treatment","RWB00125","RWB00125","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Main Treatment Area","RWB00126","RWB00126","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Michael Taylor Relatives Room","RWB00127","RWB00127","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Isolation Room","RWB00131","RWB00131","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Dirty Utility","RWB00132","RWB00132","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Office","RWB00135","RWB00135","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Office","RWB00136","RWB00136","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Plaster Room","RWB00133","RWB00133","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Disposal Room","RWB00130","RWB00130","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Dirty Utility / WC","RWB00128","RWB00128","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Domestic Room","RWB00141","RWB00141","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Resuscitation Room","RWB00142","RWB00142","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Reception / Registration","RWB00153","RWB00153","Delivery Point",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","WC / Baby Change","RWB00146","RWB00146","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Waiting Room","RWB00149","RWB00149","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Triage 1","RWB00148","RWB00148","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Staff Rest Room","RWB00160","RWB00160","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Staff WC","RWB00154","RWB00154","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","RADOC Computer Room","RWB00157","RWB00157","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Staff WC","RWB00158","RWB00158","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","RADOC Corridor","RWB00156","RWB00156","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RPR","Plant Room 12","RPR12001","RPR12001","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Electrical Cupboard","RWB00163","RWB00163","Not Defined",,"RUG - A & E"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Staff Rest Room","RCB00153","RCB00153","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Clean Store","RCB00152","RCB00152","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Store","RCB00151","RCB00151","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Staff Changing / WC","RCB00154","RCB00154","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Laboratory","RCB00155","RCB00155","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Store Room","RCB00158","RCB00158","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Male Side Ward En Suite","RCB00147","RCB00147","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Reception","RCB00145","RCB00145","Delivery Point",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Staff Changing Room","RCB00144","RCB00144","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Store THEATRE R ","RCB00141","RCB00141","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Staff Rest Room","RCB00143","RCB00143","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RBC","Female Day Room","RBC00164","RBC00164","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Treatment Room","RCB00162","RCB00162","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RBC","Female Ward","RBC00161","RBC00161","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female WC/Washroom","RCB00168","RCB00168","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female Sluice","RCB00167","RCB00167","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Store","RCB00166","RCB00166","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female Bathroom","RCB00169","RCB00169","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female Shower","RCB00170","RCB00170","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female Side Ward","RCB00172","RCB00172","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G",,"RCB00172","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Kitchen","RCB00179","RCB00179","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Drs Office","RCB00180","RCB00180","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Drs Office","RCB00181","RCB00181","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Ensuite WC","RCB00177","RCB00177","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Female Side Room","RCB00175","RCB00175","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Ensuite Shower","RCB00176","RCB00176","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Rehab Day Room","RCB00174","RCB00174","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Physio Treatment","RCB00138","RCB00138","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Physio Equipment Store","RCB00138b","RCB00138b","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Therapy Store","RCB00138c","RCB00138c","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Store THEATRE R ","RCB00140","RCB00140",,,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Rehab Kitchen","RCB00137","RCB00137","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Linen Room","RCB00136","RCB00136","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Day Unit Office","RCB00135","RCB00135","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","xRUG-RAINSBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","01",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","01","RWB","Staff WC (Rowan / Cedar corridor)","RWB10007","RWB10007","Not Defined",,"RUG - CATERING  W ITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Coding Office","RWB10008","RWB10008","Not Defined",,"RUG - CEDAR UNIT"
"St. Cross","RUG-WITHYBROOK","01","RWB","Cedar Day Room","RWB10058","RWB10058","Meeting",,"RUG - CEDAR UNIT"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physiotherapy","RWB10009","RWB10009","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Corridor","RWB10013","RWB10013","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Cedar 6 Bedded Ward - Bay 1","RWB10055","RWB10055","Not Defined",,"RUG - CEDAR UNIT"
